acousticness,danceability,energy,id,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
0.0533,0.868,0.407,2tEZXdS8lGp7v4ZK5jOVUN,0.0,0.119,-14.503,0.449,127.918,0.593,rap
0.0533,0.868,0.407,2tEZXdS8lGp7v4ZK5jOVUN,0.0,0.119,-14.503,0.449,127.918,0.593,rock
0.144,0.723,0.74,5TmoxDLyjqKm6VvfUUdutR,3.21e-06,0.212,-5.247,0.0478,98.003,0.286,rap
0.144,0.723,0.74,5TmoxDLyjqKm6VvfUUdutR,3.21e-06,0.212,-5.247,0.0478,98.003,0.286,jazz
0.144,0.723,0.74,5TmoxDLyjqKm6VvfUUdutR,3.21e-06,0.212,-5.247,0.0478,98.003,0.286,pop
0.301,0.876,0.486,1GbTolPaoAhx77pMmDAn93,0.0,0.282,-11.038,0.511,143.705,0.553,rap
0.674,0.416,0.429,122juYOLqgdrTdhSdUA6lQ,0.032,0.112,-18.191,0.0438,126.07,0.118,rap
0.124,0.748,0.565,3XBRwwPNMdcb5JRCxJjdOK,0.0,0.54,-12.439,0.128,132.911,0.362,rap
0.124,0.748,0.565,3XBRwwPNMdcb5JRCxJjdOK,0.0,0.54,-12.439,0.128,132.911,0.362,jazz
0.124,0.748,0.565,3XBRwwPNMdcb5JRCxJjdOK,0.0,0.54,-12.439,0.128,132.911,0.362,pop
0.000959,0.946,0.43,4oKB9qJo3HC2AqeOgu4AbR,0.0,0.0761,-7.702,0.124,99.005,0.613,rap
0.989,0.581,0.285,3NX5816tMz3OColqtYdZbn,0.0193,0.0833,-10.598,0.225,173.522,0.763,rap
0.989,0.581,0.285,3NX5816tMz3OColqtYdZbn,0.0193,0.0833,-10.598,0.225,173.522,0.763,jazz
0.989,0.581,0.285,3NX5816tMz3OColqtYdZbn,0.0193,0.0833,-10.598,0.225,173.522,0.763,pop
0.00705,0.817,0.653,4rzB3e4GvQUO5quMCKySp4,0.00591,0.069,-7.55,0.058,124.101,0.684,rap
0.495,0.588,0.827,1IU8mabvThkudiabnNiMqP,0.000272,0.11,-5.73,0.11,152.621,0.184,rap
0.495,0.588,0.827,1IU8mabvThkudiabnNiMqP,0.000272,0.11,-5.73,0.11,152.621,0.184,rock
0.134,0.796,0.635,4K0FlqhNQ4SisJyOeSdwJv,0.0,0.163,-5.757,0.299,144.096,0.625,rap
0.134,0.796,0.635,4K0FlqhNQ4SisJyOeSdwJv,0.0,0.163,-5.757,0.299,144.096,0.625,rock
0.0261,0.655,0.623,4sPWfFi9iDVOymMLXSfWaE,0.939,0.124,-9.16,0.0436,116.956,0.544,rap
0.0261,0.655,0.623,4sPWfFi9iDVOymMLXSfWaE,0.939,0.124,-9.16,0.0436,116.956,0.544,pop
0.000959,0.946,0.43,6QO7KuEvhFPZSeb5QEUAXW,0.0,0.0761,-7.702,0.124,99.005,0.613,rap
0.105,0.544,0.37,4suYP02PppPG6e1N8bWavh,0.0,0.146,-15.06,0.444,81.631,0.359,rap
0.105,0.544,0.37,4suYP02PppPG6e1N8bWavh,0.0,0.146,-15.06,0.444,81.631,0.359,pop
0.105,0.544,0.37,4suYP02PppPG6e1N8bWavh,0.0,0.146,-15.06,0.444,81.631,0.359,rock
0.582,0.631,0.489,1E2hO0Kwk3LSxQiiXpSgku,5.49e-06,0.32,-12.484,0.335,71.331,0.674,rap
0.582,0.631,0.489,1E2hO0Kwk3LSxQiiXpSgku,5.49e-06,0.32,-12.484,0.335,71.331,0.674,pop
0.0794,0.612,0.529,11JLm8Yfl8HVv2a9vvUQPh,0.923,0.108,-13.615,0.0485,169.986,0.149,rap
0.0794,0.612,0.529,11JLm8Yfl8HVv2a9vvUQPh,0.923,0.108,-13.615,0.0485,169.986,0.149,rock
0.949,0.643,0.355,7KIpBV1qjDiPOdxf0rWMYD,0.962,0.091,-19.979,0.0863,74.995,0.414,rap
0.219,0.75,0.746,6H8OTRF1gNTpoDrPGNrTaA,0.0,0.358,-4.455,0.0777,85.943,0.518,rap
0.219,0.75,0.746,6H8OTRF1gNTpoDrPGNrTaA,0.0,0.358,-4.455,0.0777,85.943,0.518,rock
0.921,0.566,0.386,4nlGVRjL6x1KH4fW2apkgl,0.918,0.0995,-17.127,0.0562,160.031,0.508,rap
0.921,0.566,0.386,4nlGVRjL6x1KH4fW2apkgl,0.918,0.0995,-17.127,0.0562,160.031,0.508,jazz
0.0181,0.798,0.489,29Oeq73Zy4WmsZ27u0m3ee,0.878,0.0865,-14.267,0.188,170.083,0.518,rap
0.0181,0.798,0.489,29Oeq73Zy4WmsZ27u0m3ee,0.878,0.0865,-14.267,0.188,170.083,0.518,rock
0.242,0.743,0.857,2P3Jzrm4JJkHSPdWCFBGve,0.935,0.322,-5.975,0.0513,152.96,0.644,rap
0.00769,0.871,0.678,04t7vtJGJC0OtnsBBPG1P2,0.185,0.0642,-9.039,0.0829,128.014,0.418,rap
0.00769,0.871,0.678,04t7vtJGJC0OtnsBBPG1P2,0.185,0.0642,-9.039,0.0829,128.014,0.418,jazz
0.00769,0.871,0.678,04t7vtJGJC0OtnsBBPG1P2,0.185,0.0642,-9.039,0.0829,128.014,0.418,pop
0.174,0.86,0.592,6kJ89MLTaHskovbPr3OSYt,1.48e-05,0.102,-10.945,0.342,160.016,0.465,rap
0.964,0.664,0.157,0zAdP5mRSKzNXdIHbYJl5p,0.956,0.112,-18.919,0.0466,75.012,0.729,rap
0.172,0.557,0.525,2h0XvAqmxlkdZbY0vbY9ir,0.0,0.298,-8.766,0.411,85.475,0.518,rap
0.172,0.557,0.525,2h0XvAqmxlkdZbY0vbY9ir,0.0,0.298,-8.766,0.411,85.475,0.518,jazz
0.172,0.557,0.525,2h0XvAqmxlkdZbY0vbY9ir,0.0,0.298,-8.766,0.411,85.475,0.518,pop
0.0129,0.448,0.814,6TotyO6iujvQ5vBIzHUFUP,0.0,0.165,-6.108,0.341,169.966,0.731,rap
0.0129,0.448,0.814,6TotyO6iujvQ5vBIzHUFUP,0.0,0.165,-6.108,0.341,169.966,0.731,pop
0.0402,0.707,0.564,3Wj0hDNEhs50066m5Jx8b1,0.0,0.823,-9.651,0.208,119.833,0.48,rap
0.179,0.765,0.536,2SGVZcAgZUCaGvQW2KQBBs,0.0036,0.111,-10.637,0.119,150.075,0.269,rap
0.386,0.662,0.176,1PtgUczaQkA3Ib3lf7uF9j,0.806,0.0904,-11.975,0.368,74.982,0.0465,rap
0.404,0.546,0.426,7Kz0ULYH0vOB8Lgwj5r1NJ,0.00148,0.0884,-12.508,0.514,78.495,0.205,rap
0.404,0.546,0.426,7Kz0ULYH0vOB8Lgwj5r1NJ,0.00148,0.0884,-12.508,0.514,78.495,0.205,jazz
0.404,0.546,0.426,7Kz0ULYH0vOB8Lgwj5r1NJ,0.00148,0.0884,-12.508,0.514,78.495,0.205,pop
0.803,0.713,0.684,67RtsTL12Fzd8nSBgvvg1J,0.911,0.0968,-9.436,0.101,126.985,0.316,rap
0.0281,0.773,0.536,6NpVP8igmQovQjPAuafLmM,0.855,0.0909,-7.88,0.0757,140.003,0.107,rap
0.0616,0.602,0.593,3QdIVNlVQymK9eztSTcgda,0.0,0.13,-12.944,0.177,111.965,0.302,rap
0.0616,0.602,0.593,3QdIVNlVQymK9eztSTcgda,0.0,0.13,-12.944,0.177,111.965,0.302,pop
0.0616,0.602,0.593,3QdIVNlVQymK9eztSTcgda,0.0,0.13,-12.944,0.177,111.965,0.302,rock
0.00446,0.571,0.748,5osceeacUEBaXW5DaRDnYe,0.0,0.363,-8.212,0.244,89.782,0.803,rap
0.00446,0.571,0.748,5osceeacUEBaXW5DaRDnYe,0.0,0.363,-8.212,0.244,89.782,0.803,pop
0.00446,0.571,0.748,5osceeacUEBaXW5DaRDnYe,0.0,0.363,-8.212,0.244,89.782,0.803,rock
1.2e-05,0.334,0.891,5nyheBkWNF1BXfAmDVzufM,0.458,0.199,-10.79,0.0561,160.003,0.255,rap
1.2e-05,0.334,0.891,5nyheBkWNF1BXfAmDVzufM,0.458,0.199,-10.79,0.0561,160.003,0.255,pop
1.2e-05,0.334,0.891,5nyheBkWNF1BXfAmDVzufM,0.458,0.199,-10.79,0.0561,160.003,0.255,rock
0.0108,0.784,0.586,7osOiq38F7XhKCWN8lwBc9,0.902,0.0757,-13.742,0.0583,135.035,0.653,rap
0.0309,0.812,0.469,6n9RrtjlIRrU0FmT3XXhkv,0.0,0.0407,-10.009,0.287,88.996,0.851,rap
0.0309,0.812,0.469,6n9RrtjlIRrU0FmT3XXhkv,0.0,0.0407,-10.009,0.287,88.996,0.851,pop
0.0309,0.812,0.469,6n9RrtjlIRrU0FmT3XXhkv,0.0,0.0407,-10.009,0.287,88.996,0.851,rock
0.0102,0.761,0.857,6cTTyvJ28sJFdyYi6uS6xu,0.0211,0.0607,-6.966,0.045,115.004,0.425,rap
0.687,0.655,0.278,1R9WxdU4YbfeliUsDEa8ep,0.746,0.112,-15.646,0.17,78.037,0.415,rap
0.069,0.607,0.849,2hFrNpkK3eYtjghT3G2XEP,0.888,0.112,-10.483,0.0435,155.044,0.269,rap
0.069,0.607,0.849,2hFrNpkK3eYtjghT3G2XEP,0.888,0.112,-10.483,0.0435,155.044,0.269,rock
0.0329,0.772,0.686,6tYVr8gNt5FYMCNlXS45TD,0.0,0.0797,-10.669,0.208,160.035,0.543,rap
0.0329,0.772,0.686,6tYVr8gNt5FYMCNlXS45TD,0.0,0.0797,-10.669,0.208,160.035,0.543,rock
0.426,0.575,0.407,0FgdvxRjylem2R1ZP38UEK,0.0,0.289,-9.393,0.129,139.949,0.187,rap
0.426,0.575,0.407,0FgdvxRjylem2R1ZP38UEK,0.0,0.289,-9.393,0.129,139.949,0.187,rock
0.21,0.756,0.441,3RwuCPo5FXUwJrjdco2uwN,0.0,0.183,-11.86,0.403,72.342,0.408,rap
0.00481,0.762,0.555,3Yo31KSVzB0g8rdWncbFCp,0.0,0.14,-8.697,0.194,75.018,0.955,rap
0.408,0.386,0.849,2pNmNYkwUNzyzjYSZzlyPb,0.0,0.134,-8.168,0.291,90.384,0.906,rap
0.408,0.386,0.849,2pNmNYkwUNzyzjYSZzlyPb,0.0,0.134,-8.168,0.291,90.384,0.906,pop
0.0812,0.589,0.874,0nQRHEFAmxrACvpJ2nEdKm,5.65e-06,0.32,-4.144,0.0512,167.016,0.633,rap
0.0812,0.589,0.874,0nQRHEFAmxrACvpJ2nEdKm,5.65e-06,0.32,-4.144,0.0512,167.016,0.633,jazz
0.0812,0.589,0.874,0nQRHEFAmxrACvpJ2nEdKm,5.65e-06,0.32,-4.144,0.0512,167.016,0.633,rock
0.141,0.798,0.628,0hUyQyHvq53DDUC5IHn7Be,0.0,0.066,-6.885,0.203,94.686,0.964,rap
0.141,0.798,0.628,0hUyQyHvq53DDUC5IHn7Be,0.0,0.066,-6.885,0.203,94.686,0.964,pop
